name,phoneNumber,address,rating,votes
Headway Informatics Pvt Ltd,07947083167,"B-9, Manjusha Building,57, Nehru Place, Delhi - 110019",3.9,33
Mv Infotech Systems,07947078907,"Hari Chamber Complex , Ground Floor, Mg Road, MG Road, Gurgaon - 122002, Opp to Community Center Sector 17",4.3,5
S R Solutions,07947224743,"D-363, Gurgaon HO, Gurgaon - 122001, Near Main Market",4.6,9
Ifuture Apple Store,07947454641,"Unit No-A-10,Lower Ground Floor,Ardee Mall,Ardee City, Ardee City, Gurgaon - 122003",2.5,3
QAC Computers,08045789236,"Hno.-205,Block - B, Street Number 5, Sheetla Mata Mandir Road-Rajiv Nagar, Gurgaon - 122001, Near ICICI Bank ATM",3.9,11
Imagine Apple Store (Metrop..,07947219546,"36 and 37, 2nd Floor, MGF Metropolitan Mall, MG Road, Gurgaon Sector 28, Gurgaon - 122002",4.1,1485
Imagine Tresor Apple Store,07947226109,"206-208, Second Floor, South Point Mall, DLF Golf Course Road, Gurgaon Sector 53, Gurgaon - 122003",4.2,50
New City Informatic & Servi..,07947221941,"Shop No-46 Ground Floor, C-Block, Sushant Lok Phase 1, Gurgaon - 122002, Vyapar Kendra",4.4,42
Xcellent Technology And Sol..,07947209950,"First Floor 7, Omaxe Mall, Sohna Road, Gurgaon - 122001, Near SRS Cinema, Block A",4.7,99
Deep Infoways,08045791945,"Shop No.6, Style Plaza, Basement., Sector 15 Part 1, Kirti Nagar Gurgaon, Gurgaon - 122007, Near Reliance Fresh",4.4,8
Dcm International,+(91)-8285470447,"Sco No-38 Old Judicial Complex, Civil Lines Gurgaon, Gurgaon - 122001",4.7,6
Kaizen Solutions,+(91)-124-104557,"114 -117 Vashisht Complex,1 St Floor, Sikanderpur, Gurgaon, Gurgaon - 122002",4.9,8
IT SWITCH,07947308587,"Unit No 1109 ,Ocus Quantum Mall, Sector 51, Gurgaon Sector 51, Gurgaon - 122003, Ocus Quantum",4.1,156
Vardhman Peripherals,07947222237,"Shop No. 101 & 207, Ganpati Arcade, Gurgaon, Gurgaon - 122001, Opposite Deepmala Showroom",4.5,18
Sai Computer Solutions,07947217116,"Shop No -3 Ram Mehar Market, Sec. 44-45 Road, Gurgaon, Gurgaon - 122001, Near Ramada Central Hotel Sector-44",3.9,40
A Square It Solution,07947178769,"Shop No - B12, Satyam Plaza, Civil Lines Gurgaon, Gurgaon - 122001",4.7,5
Shri Shyam Ji Infotech,07947215066,"Shop Number 102, First Floor, Gopiram Market, Islampur, Sohna Road, Sohna Road, Gurgaon - 122001, Opposite Samvit Hospital",3.9,43
Green Pc World Pvt Ltd,07947280967,"Plot No. 14, Pace City 1, Gurgaon Sector 37, Gurgaon - 122001, Near Hero Honda Chowk & Big Boys Toys",3.9,35
Spg System,07947069594,"Shop No.:- 466/5, PATEL NAGAR, Gurgaon, Gurgaon - 122001, Near By SBI Atm",4.9,5
